"","0","1","2","3","4","5","6","7","8","9","10","11","12"
"0 000",0.723431780891077,0.149856430644958,0.0698599015524423,0.0319047393664016,0.0143293260128739,0.00616874921115739,0.00264262274391014,0.00100183011485548,0.000477249779124069,0.000153824308973874,0.000106493752366528,3.94421305061214e-05,1.57768522024486e-05
"0 001",0.149436713055003,0.544068919814447,0.151093439363817,0.083167660702452,0.0414181577203446,0.0202120609675282,0.00530152418820411,0.00298210735586481,0.000662690523525514,0.000331345261762757,0.00099403578528827,0.000331345261762757,0
"0 010",0.38381562099872,0.342944942381562,0.139462227912932,0.0739564660691421,0.0326760563380282,0.0152624839948784,0.00640204865556978,0.00297055057618438,0.00153649167733675,0.000460947503201024,0.00030729833546735,0.000102432778489117,0.000102432778489117
"0 011",0.145161290322581,0.263626251390434,0.314516129032258,0.137931034482759,0.0711902113459399,0.0375417130144605,0.0155728587319244,0.00667408231368187,0.00472747497219132,0.00111234705228031,0.00111234705228031,0.000556173526140156,0.000278086763070078
"0 100",0.576514729495036,0.174296293868991,0.130173346003867,0.0643903398105974,0.0314906445587705,0.012681456237507,0.00620965363567847,0.00222826621227513,0.00108136448536881,0.00044237638037815,0.000327686207687518,0.000114690172690631,3.27686207687518e-05
"0 101",0.13823692478285,0.440029569395676,0.164110145998891,0.131029384586953,0.0674551838846794,0.0303086305673628,0.0155239327296248,0.00776196636481242,0.00277213084457586,0.00129366106080207,0.000924043614858621,0.000184808722971724,0.000369617445943449
"0 110",0.384361460697339,0.217935492744653,0.154528574375903,0.124888247025652,0.0662265318753868,0.0279898218829517,0.014098067533182,0.00522660064644797,0.00261330032322399,0.00116910803933705,0.000481397427962313,0.000343855305687367,6.87710611374733e-05
"0 111",0.143464700878934,0.269917777147718,0.210660618089028,0.146299971647292,0.125602495038276,0.0544371987524809,0.0277856535299121,0.0133257726112844,0.0045364332293734,0.00170116246101503,0.00113410830734335,0.000850581230507513,0.000283527076835838
"1 000",0.838080951371564,0.0969307614124911,0.039372346959296,0.0157402425171344,0.00594063711023061,0.00249474147629996,0.00094571899101567,0.000320674830286922,0.000130443998760782,2.71758330751629e-05,1.08703332300652e-05,0,0
"1 001",0.344725660447072,0.474782929983373,0.10031405874746,0.0477554036578607,0.0201367079253649,0.00711250692776649,0.00314058747459819,0.00138555329761685,0.000369480879364493,0.000184740439682246,9.23702198411232e-05,0,0
"1 010",0.595087807012062,0.233485407162052,0.0985563402287357,0.0424973439160053,0.0178738828823199,0.0078745078432598,0.00299981251171802,0.000687457033935379,0.000656208986938316,0.000156240234985313,9.3744140991188e-05,0,3.12480469970627e-05
"1 011",0.316514266828247,0.285667070618046,0.220887958576622,0.0921009143990305,0.0475928170100253,0.021372700231354,0.00903382174727333,0.0038558995262752,0.00165252836840366,0.000330505673680732,0.00077117990525504,0.000220337115787154,0
"1 100",0.728824089798285,0.117356307556366,0.0901710640765439,0.0384652556296511,0.0147592815032653,0.00655814659873807,0.00234712615112731,0.000911237211614132,0.000400392108133482,0.000124259619765564,5.52264976735838e-05,1.38066244183959e-05,0
"1 101",0.363372589179041,0.370029015190306,0.114268646526711,0.0882403140467657,0.0361836490868749,0.0173237753882915,0.00614439324116743,0.00230414746543779,0.00145075951527564,0.000341355180064858,0.000170677590032429,8.53387950162144e-05,8.53387950162144e-05
"1 110",0.589386039367851,0.155005860717028,0.108605149347237,0.0854452124004689,0.0355280708136292,0.0151974455357504,0.00642657936219231,0.00246554302574674,0.00121256214380987,0.000444606119396952,8.08374762539913e-05,0.000121256214380987,4.04187381269957e-05
"1 111",0.34018840387422,0.252487727212419,0.152978638715669,0.106010348945204,0.0815974525673345,0.0407323868913361,0.0161868117288046,0.00557250895581797,0.00278625447790898,0.000796072707973995,0.000265357569324665,0.000265357569324665,0.000132678784662332
"2 000",0.929181894656478,0.0479637497260729,0.0149652554414291,0.00520284742791299,0.00185916966513739,0.000558457808159139,0.000169658068301511,8.48290341507553e-05,7.06908617922961e-06,7.06908617922961e-06,0,0,0
"2 001",0.746754089846793,0.181121786548948,0.0449883147234485,0.017268242015061,0.00610231108802908,0.00246689171643729,0.000908854842897949,0.000194754609192418,6.49182030641392e-05,0.000129836406128278,0,0,0
"2 010",0.783385450755097,0.143019901582915,0.0467844762805129,0.0177926453833661,0.00622984995030664,0.00176956827382251,0.000727219838557196,0.000218165951567159,7.27219838557196e-05,0,0,0,0
"2 011",0.737389260531549,0.0497197613451455,0.137859338275176,0.0418549990960043,0.0209726993310432,0.0084071596456337,0.00216958958596999,0.00135599349123124,0.000180799132164166,9.03995660820828e-05,0,0,0
"2 100",0.876471028223796,0.0577066919317842,0.043283135534058,0.0152962002592999,0.00482447392041488,0.00162062431435125,0.000486187294305375,0.0002493268175925,3.7399022638875e-05,1.2466340879625e-05,1.2466340879625e-05,0,0
"2 101",0.732355909063928,0.148987950376922,0.0572208701846026,0.039413545438357,0.0137116400546091,0.00552027067133614,0.00178073247462456,0.000831008488158129,5.93577491541521e-05,0.000118715498308304,0,0,0
"2 110",0.773765981007349,0.106674272675414,0.0544277037683299,0.0425489077547733,0.0161403979732224,0.00416093419683903,0.00147646052145901,0.000637562497902755,0.000134223683769001,3.35559209422503e-05,0,0,0
"2 111",0.680008894818768,0.0855014454080498,0.114076050700467,0.0521458750277963,0.0434734267289304,0.0160106737825217,0.00544807649544141,0.00211251945741606,0.00066711140760507,0.000333555703802535,0.00022237046920169,0,0
